District,Category,Bedroom,Bathroom,Direction,House Status,Verification,Land Area (m2),Land Used Area (m2),Length (m),Width (m),Alley Width (m),Price (bil),Price/m2 (mil),Floor,Have Mezzanine,Have Rooftop,Have Basement,Have Attic,Is Land,Near Market,Near School,Near Hospital,Near Center,Near Frontage,Securities Space,Comfortable Space,Have Car Park,Larger Rear,Alley Surface,Urgent Sale
district-11,Ban Nha Quan 11 - Dang cho thue 5 trieu/ thang,1.0,2.0,North,Renting,Pink book,22.2,34.1,6.16,3.71,2.0,3.7,166.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
district-11,Ban Nha Rieng Quan 11 - Hem Xe Hoi - Gan Cho Binh Thoi,4.0,3.0,North,Empty,Pink book,41.2,129.9,13.0,4.0,4.0,6.8,165.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
district-11,"Ban Nha Hem Phuong 3, Quan 11 - Gan Truong Tieu hoc Hung Viet",2.0,2.0,North,Living,Pink book,43.9,77.7,8.9,4.86,3.0,3.6,82.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
district-11,"Ban nha hem 3m Duong Lac Long Quan Q11, DT: 3,56x12,95m, 1Lau.",2.0,2.0,South,Empty,Pink book,39.3,77.2,12.95,3.56,3.0,3.7,94.1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
district-11,Ban Nha Rieng Phuong 7 Quan 11- Gan Dai Hoc Y Duoc,5.0,4.0,South,Empty,Pink book,32.2,94.2,9.0,3.0,3.0,5.2,161.5,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
district-11,"Ban Nha Hem Tue Tinh, DT: 3,35x12m, 1 Lau.",2.0,2.0,South,Empty,Pink book,36.2,69.8,12.0,3.35,3.5,5.0,138.1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
district-11,"Ban Nha 2 Mat Hem 3m Han Hai Nguyen, DT: 3.8x7.5m, Tret 2 Lau San Thuong",3.0,3.0,South,Empty,Pink book,14.4,28.8,7.5,3.8,3.0,3.65,253.5,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
district-11,Ban Nha Rieng Quan 11 - Gan Vong Xoay Hoa Binh ,2.0,2.0,North,Living,Pink book,50.8,99.6,15.26,3.3,2.0,5.2,102.4,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
district-11,"Ban Nha Mat Tien Duong 30m Kinh Doanh Sung Tuc, DT 4.3x25.7m, 1 Lung 1 Lau",2.0,2.0,South,Empty,Pink book,100.6,237.4,25.7,4.3,,20.25,201.3,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
district-11,Ban Nha Mat Tien Kinh Doanh Quan 11 - Gan cau vuot Cay Go,1.0,2.0,South,Empty,Pink book,64.0,119.6,16.0,4.0,,16.0,250.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
district-11,Ban nha Rieng Quan 11 - Gan Nha Thi Dau Lanh Binh Thang,,1.0,North,Empty,Pink book,164.4,164.4,16.0,7.0,,10.5,63.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
district-11,"Ban nha mat tien noi bo 12m Lac Long Quan, DT: 8x16.5m. Vi tri dac dia!",2.0,2.0,North,Empty,Pink book,112.9,183.6,16.5,8.0,12.0,11.0,97.4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
district-11,Ban nha Quan 11 - Xung quanh day du tien nghi - Khu dan cu an ninh - So hong chinh chu,5.0,4.0,South,Living,Pink book,36.5,62.3,11.15,3.58,5.5,6.8,186.3,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
district-11,"Ban nha Mat Tien Noi Bo 8m Thai Phien, vi tri cuc dep!",3.0,3.0,North,Empty,Pink book,35.7,97.5,11.0,3.5,,5.9,165.3,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
